Locus,Gene,Category
AT5G13320,PBS3,Immunity
AT5G26920,CBP60g,Immunity
AT4G04490,CRK36,Immunity
AT4G23150,CRK7,Immunity
AT4G39030,EDS5,Immunity
AT2G19190,FRK1,Immunity
AT4G11170,RMG1,Immunity
AT5G52810,SARD4,Immunity
AT3G11340,UGT76B1,Immunity
AT2G14610,PR1,Immunity
AT4G31800,WRKY18,Immunity
AT2G13790,SERK4,Immunity
AT2G39200,MLO12,Immunity
AT2G37710,LECRK-IV.1,Immunity
AT2G29100,GLR2.9,Immunity
AT5G05190,EDR4,Immunity
AT2G39660,BIK1,Immunity
AT3G03640,BGLU25,Immunity
AT4G22470,DHYPRP1,Immunity
AT3G51660,MDL3,Immunity
AT5G44390,ATBBE25,Immunity
AT2G42360,ATL41,Immunity
AT3G07390,AIR12,Immunity
AT2G39530,CASPL4D1,Immunity
AT3G52450,PUB22,Immunity
AT5G23820,ML3,Susceptibility
AT5G45110,NPR3,Susceptibility
AT1G26770,EXPA10,Susceptibility
AT3G53420,PIP2A,Susceptibility
AT3G61430,PIP1A,Susceptibility
AT3G46510,PUB13,Susceptibility
 AT1G19670,CORI1,Susceptibility
AT4G23600,CORI3,Susceptibility
AT5G24530,DMR6,Susceptibility
AT3G28007, SWEET4,Susceptibility
AT2G34070,TBL37,Susceptibility
AT1G32640,JIN1/MYC2,Susceptibility
AT4G12720,NUDT7,Susceptibility
AT4G26080,ABI1,Susceptibility
AT5G57050,ABI2,Susceptibility
AT5G39670,CML46,Susceptibility
AT4G20380,LSD1,Susceptibility
AT4G24240,WRKY7,Susceptibility
AT4G34590,bzip11,Susceptibility
At5G59320,LTP3,Susceptibility
AT5G59310,LTP4,Susceptibility